Adresse_Email,Type_de_compte,Numero__De_Compte,Solde
yasser.moussa@niama.fr,Livret_A,0,125.0
yasser.moussa@niama.fr,Livret_A,0,125.0
yasser.moussa@niama.fr,Livret_A,52970480,1.0
yasser.moussa@niama.fr,Livret_A,84269936,1.0
yasser.moussa@niama.fr,Livret_jeune,80981857,1.231658494E9
yasser.moussa@niama.fr,Livret_A,93764131,125.52
yasser.moussa@niama.fr,Livret_A,71756426,0.0
yasser.moussa@niama.fr,,63192210,125.0
yasser.moussa@niama.fr,Livret_A,35112808,1.0
yasser.moussa@niama.fr,Livret_A,97580624,1.0
yasser.moussa@niama.fr,Livret_A,11867872,0.0
yasser.moussa@niama.fr,Plan_épargne_logement_(PEL),1383675,14.0
yasser.moussa@niama.fr,Livret_A,84414337,0.0
yasser.moussa@niama.fr,Livret_A,10234129,0.0
yasser.moussa@niama.fr,Livret_A,12768377,0.0
yasser.moussa@niama.fr,Livret_A,48001902,0.0
yasser.moussa@niama.fr,Livret_A,33097208,25.0
yasser.moussa@niama.fr,Livret_A,49716422,2569.0
yasser.moussa@niama.fr,Livret_A,75060546,464564.0
yasser.moussa@niama.fr,Livret_A,684590,1.0
yasser.moussa@niama.fr,Livret_A,5650569,152.0
yasser.moussa@niama.fr,Livret_A,83306055,152.0
yasser.moussa@niama.fr,Plan_épargne_logement_(PEL),23424665,125565.0
yasser.moussa@niama.fr,Livret_A,90074467,123.0
